Gene_ID,logFC,logCPM,LR,PValue,FDR
ENSRNOG00000014833,0.096074373,5.182339067,0.991641371,0.31934154,0.777438238
ENSRNOG00000002057,-1.340586083,-3.380842415,0.991552946,0.319363117,0.777438238
ENSRNOG00000007232,-1.340586083,-3.380842415,0.991552946,0.319363117,0.777438238
ENSRNOG00000013389,-1.340586083,-3.380842415,0.991552946,0.319363117,0.777438238
ENSRNOG00000020173,-1.340586083,-3.380842415,0.991552946,0.319363117,0.777438238
ENSRNOG00000048579,-1.340586083,-3.380842415,0.991552946,0.319363117,0.777438238
ENSRNOG00000054777,-1.340586083,-3.380842415,0.991552946,0.319363117,0.777438238
ENSRNOG00000055858,-1.340586083,-3.380842415,0.991552946,0.319363117,0.777438238
ENSRNOG00000008514,-1.340643886,-3.380280858,0.991550661,0.319363675,0.777438238
ENSRNOG00000016262,-1.340643886,-3.380280858,0.991550661,0.319363675,0.777438238
ENSRNOG00000007678,-0.100778517,4.403478208,0.991357049,0.319410926,0.777495705
ENSRNOG00000047884,0.141625262,3.185589852,0.99061771,0.319591448,0.77787754
ENSRNOG00000011871,-0.129483851,4.38482652,0.990337428,0.319659918,0.77798661
ENSRNOG00000062142,-0.787955391,-2.572778686,0.988981113,0.319991527,0.778282123
ENSRNOG00000001544,-1.338163604,-3.380898633,0.988429281,0.320126575,0.778282123
ENSRNOG00000011642,-1.338163604,-3.380898633,0.988429281,0.320126575,0.778282123
ENSRNOG00000021149,-1.338163604,-3.380898633,0.988429281,0.320126575,0.778282123
ENSRNOG00000039504,-1.338163604,-3.380898633,0.988429281,0.320126575,0.778282123
ENSRNOG00000059494,-1.338163604,-3.380898633,0.988429281,0.320126575,0.778282123
ENSRNOG00000061463,-1.338163604,-3.380898633,0.988429281,0.320126575,0.778282123
ENSRNOG00000010519,-1.338208862,-3.380337097,0.988408048,0.320131773,0.778282123
ENSRNOG00000022456,-1.338208862,-3.380337097,0.988408048,0.320131773,0.778282123
ENSRNOG00000026634,-1.338208862,-3.380337097,0.988408048,0.320131773,0.778282123
ENSRNOG00000030155,-1.338208862,-3.380337097,0.988408048,0.320131773,0.778282123
ENSRNOG00000042477,-1.338208862,-3.380337097,0.988408048,0.320131773,0.778282123
ENSRNOG00000050955,-1.338208862,-3.380337097,0.988408048,0.320131773,0.778282123
ENSRNOG00000057866,-1.338208862,-3.380337097,0.988408048,0.320131773,0.778282123
ENSRNOG00000006670,-0.435191453,-1.315448356,0.988389302,0.320136362,0.778282123
ENSRNOG00000001701,-0.163150842,2.425466428,0.987640018,0.32031986,0.778670655
ENSRNOG00000035636,0.319589849,-0.405885085,0.987334181,0.320394798,0.77879525
ENSRNOG00000018320,0.093629559,7.494085783,0.986733464,0.320542057,0.779095606
ENSRNOG00000012651,-0.095156671,5.173081745,0.986134007,0.320689096,0.779395384
ENSRNOG00000036882,0.412570997,-0.907741426,0.985521485,0.320839432,0.779615243
ENSRNOG00000009334,-0.380501381,-0.985786692,0.98534754,0.320882141,0.779615243
ENSRNOG00000011460,-1.335776136,-3.380393334,0.985274221,0.320900146,0.779615243
ENSRNOG00000015636,-0.106164872,4.649957673,0.985218149,0.320913916,0.779615243
ENSRNOG00000004711,0.089689035,6.772199072,0.98518611,0.320921784,0.779615243
ENSRNOG00000042814,0.42858826,-1.151172949,0.985185999,0.320921811,0.779615243
ENSRNOG00000014079,0.094797432,5.767440001,0.984894632,0.320993381,0.779726302
ENSRNOG00000018986,0.113729949,4.760180331,0.984806828,0.321014952,0.779726302
ENSRNOG00000033274,-0.680994772,-2.251137373,0.984368208,0.32112274,0.779930502
ENSRNOG00000051384,-0.244008095,0.610525116,0.984157985,0.321174418,0.779998404
ENSRNOG00000025669,0.139735377,3.409134896,0.983772423,0.321269227,0.780171036
ENSRNOG00000038242,1.132468874,-3.13299662,0.982552359,0.321569481,0.780817669
ENSRNOG00000007665,0.089092193,6.648073156,0.982497474,0.321582997,0.780817669
ENSRNOG00000002468,-1.021309316,-2.98843083,0.982277961,0.321637061,0.780891278
